Timestamp,Model,Process,Metric,Score
2025-09-16 10:51:22,Model 17,Test,MSE,0.0074
2025-09-16 10:51:22,Model 17,Test,MAE,0.0661
2025-09-16 10:51:22,Model 17,Test,MAPE,0.1541
2025-09-16 10:51:22,Model 17,Test,R2,0.4608
2025-09-16 10:51:22,Model 17,Test,EVS,0.4943
2025-09-16 10:51:22,Model 17,encrypted-fhe,MSE,0.0129
2025-09-16 10:51:22,Model 17,encrypted-fhe,MAE,0.0796
2025-09-16 10:51:22,Model 17,encrypted-fhe,MAPE,0.2211
2025-09-16 10:51:22,Model 17,encrypted-fhe,R2,-0.5789
2025-09-16 10:51:22,Model 17,encrypted-fhe,EVS,-0.0082
2025-09-16 10:51:22,Model 17,Validation,Time,86.2387
2025-09-16 10:51:22,Model 17,Test,Time,0.0015
2025-09-16 10:51:22,Model 17,encrypted-fhe,Time,54.4381
2025-09-16 10:51:22,Model 17,encrypted-fhe,EncryptionScheme,CKKS
2025-09-16 10:51:22,Model 17,encrypted-fhe,PolyModulusDegree,8192.0000
2025-09-16 10:51:22,Model 17,encrypted-fhe,CoeffModBitSizes,"[31, 26, 26, 26, 26, 26, 26, 31]"
